bbcid,summary,system,ans_factual,ans_contradict,self_verdict,uncertainty
37405757,la la land film la la land has won the top prize at the venice film festival.,TConvS2S,no,no.,Unsupported,0.035442495178845214
35082344,"ai weiwei, the founder of ai giant ai weiwei, has launched a $ 1m (Â # venture) research project.",TConvS2S,no.,yes.,Contradicted,0.03551178644746881
31920236,oscar-winning oscar winner oscar winner oscar-winning actress oscar-winning actress oscar-winning actress oscar-winning actress oscar-winning oscar winner oscar winner,BERTS2S,no,no,Unsupported,0.17668294258640735
39909064,thomas jungels retained the yellow jersey for the first time since returning to the giro d'italia in the first round of the giro d'italia.,PtGen,yes.,yes.,Unsupported,0.04750715251567949
40682974,the duke and duchess of cambridge have taken part in a concert in the german city of hamburg.,BERTS2S,no,yes,Contradicted,0.09337853762829694
33719438,"the death of ex-russian spy alexander litvinenko may have been linked to the death of ex-russian spy alexander litvinenko, a court",TranS2S,no.,yes,Contradicted,0.0814462080966998
26381454,russia's new president has called for a new law to allow russian citizens to be barred from leaving the country.,TConvS2S,yes.,yes.,Unsupported,0.10581174546314712
33960105,"the welsh government has a ``huge market'', according to new research from the university of wales (confor).",PtGen,yes.,yes.,Unsupported,0.021163680509403017
35933239,the fbi has ordered the fbi to investigate the killing of a man accused of killing his wife and his wife.,PtGen,no.,no.,Unsupported,0.11351943196213851
26503920,meet ricky's first professional team in the united states.,TranS2S,no.,no,Unsupported,0.020958009827824402
38921269,torquay united have signed barrow's myles keating and barrow's ruairi keating on loan until january.,BERTS2S,no.,yes,Contradicted,0.0689876259172394
38592703,a man has been taken to hospital after a crash involving a car and a lorry in bristol.,TConvS2S,no,no,Unsupported,0.18552413223220693
36495608,britain's laura muir has become the first british woman to win a world record for the fastest time in her career.,TConvS2S,no.,yes,Contradicted,0.1365299960113412
38156376,police searching for a greenock woman who has been missing for more than a decade have launched a fresh search for her.,BERTS2S,no.,no.,Unsupported,0.11088975715305244
38727050,tom ince scored the only goal of the game to give derby county their first win of the season as they beat ipswich town.,TranS2S,yes.,yes.,Unsupported,0.040397621278238746
37949101,a man who admitted causing the death of a homeless man by dangerous driving has been given a 12-month suspended prison sentence.,PtGen,no.,yes,Contradicted,0.20940678844880323
34490431,a caravan stolen from a cambridgeshire caravan park has been stolen from a caravan in cambridgeshire.,TConvS2S,no.,yes,Contradicted,0.14420441498581743
38316455,swansea's # 1bn tidal lagoon in swansea has been rated ``unrealistic''by the developer of the welsh government.,PtGen,yes.,yes.,Unsupported,0.0648078769591442
34104114,"china's state-run news agency xinhua says it has arrested more than 100 people in connection with the blasts in tianjin last month, state",BERTS2S,no.,no,Unsupported,0.08419587284734237
10138849,jk venter is one of the world's most successful scientists.,BERTS2S,yes.,yes.,Unsupported,0.055867882036999716
36968311,a campaign to raise funds for the iraq war has been launched by the uk government.,TConvS2S,no.,yes,Contradicted,0.14294254681187055
37728276,a updated bay has been spotted at a beach in south south england.,TConvS2S,no,no,Unsupported,0.048349622005182585
38034979,ipswich made it three championship wins from two with a comfortable win over qpr.,TranS2S,yes.,yes.,Unsupported,0.04542026649376239
35146033,"more than 10, 000 journeys could be made by a rail link between england and the uk over the next 30 years, a study has found.",BERTS2S,no.,no.,Unsupported,0.09615470492184709
35970356,castleford tigers have signed warrington wolves half-back jordan taylor on loan until the end of the season.,BERTS2S,yes,no,Entailed,0.04111401368597533
30310314,it's a bit of a lot of money.,TranS2S,yes.,yes.,Unsupported,0.08823651715095134
36886766,"alastair cook said england's batting collapse on day two of the second test against pakistan was "" not good enough "".",TranS2S,no.,no.,Unsupported,0.04047659998483431
34793274,the united nations has announced a new flight to flight flight mh370.,TConvS2S,no.,yes.,Contradicted,0.015666196140128895
38765314,st mirren have signed aberdeen winger cammy smith for an undisclosed fee on a two-year deal. his place in the new season.,PtGen,no,yes,Contradicted,0.09540642307157722
30520122,the conservatives have retained control of the green party in the wake of the 2009 vote in the european elections.,PtGen,no,yes,Contradicted,0.03663905155569193
36686216,great britain's eventers missed out on a bronze medal at the rio olympics after losing in the dressage.,TranS2S,no,yes.,Contradicted,0.07517845249923724
35933239,the fbi has said it will help the san bernardino killer to access iphones used by the san bernardino victims.,BERTS2S,no.,yes,Contradicted,0.08112867942327083
32201626,"the town of glass, a small town in the republic of ireland, is a small town in the republic of ireland.",TConvS2S,no.,no.,Unsupported,0.08568896284031882
40223602,bolton defender dorian dervite has signed a new two-year contract with the championship club.,BERTS2S,no,no,Unsupported,0.10685012525145778
30216408,"nearly half of pupils in the uk do not have a tablet tablet, according to a study from the university of cambridge.",TranS2S,yes.,yes.,Unsupported,0.11919992840264731
38713957,an australian man has made history by becoming the first person in the world to go on display the opport.,TranS2S,yes.,no.,Entailed,0.036567560746092284
39933716,dutch airline klm has announced new flights between inverness and amsterdam this summer.,BERTS2S,no,yes,Contradicted,0.10768816117032609
39183253,police are investigating a suspicious fire at a house in county antrim.,TranS2S,no.,yes,Contradicted,0.11110655035318481
21405673,the mother of a murdered victim of the victim of the murder of sian thompson has said she is ``capable of walking amongst other people''.,PtGen,no.,yes.,Contradicted,0.061358864661707306
40944669,angelo sakho scored his first goal of the season as west ham came from behind to beat cheltenham town in the efl cup third round.,PtGen,yes.,yes,Unsupported,0.1144097759018383
36960270,wayne rooney's testimonial against manchester united has been broadcast live on facebook.,BERTS2S,no.,yes,Contradicted,0.060881366188628536
36486846,rangers have confirmed the appointment of manager paul durrant to remain as manager at the end of the season.,PtGen,no.,no,Unsupported,0.04577650205901574
34593064,a man has been charged with raping a 15-year-old boy in cumbria.,TranS2S,no,yes,Contradicted,0.27178760681820513
18944949,ferrari's fernando alonso won a thrilling hungarian grand prix to beat ferrari's jenson button to win the hungarian grand prix.,BERTS2S,no.,yes.,Contradicted,0.0240754531270123
33645248,mclaren have rejected accusations from formula 1 boss bernie bottas's decision to drive him to the 2009 of the world's world champion.,PtGen,no.,yes.,Contradicted,0.02319840216221497
36436094,hibernian head coach alan stubbs will leave the championship club at the end of the season to succeed rotherham united boss rotherham united.,BERTS2S,yes.,yes.,Unsupported,0.05993748809272633
21405673,the mother of murdered toddler james bulger has said she hopes the mother of murdered toddler james bulger will be released from prison.,TranS2S,yes.,yes.,Unsupported,0.0556500738064504
37278170,"women who pay men as men are more likely to get women into work than men, a study suggests.",TranS2S,no.,yes.,Contradicted,0.07547269264294747
40642906,featherstone head coach lee duffy has been ruled out of the rest of the super league season with a shoulder injury.,PtGen,no.,yes,Contradicted,0.05258562424077367
38728777,a millionaire accused of murdering his wife has told a murder trial she had been ``unlawfully''killed.,PtGen,no.,yes.,Contradicted,0.06506152781781553
37680168,"more than half of nhs trusts in england are struggling to cope with the amount of money they receive, the regulator has said.",TConvS2S,no.,yes.,Contradicted,0.09429490457518755
22534665,the home secretary has said she wants to introduce new laws on the life of police officers convicted of crimes against humanity.,BERTS2S,no.,yes,Contradicted,0.12419063685070938
16025568,french scientists say they have found a way to hide the earth's vast mountains of mont blanc.,TranS2S,no.,yes.,Contradicted,0.033490804344884044
40642906,leigh centurions have appointed former scotland international matt duffy as their new head coach.,TranS2S,no.,yes,Contradicted,0.030079654981385685
31920236,star wars actress daisy potts is to star in disney's live-action remake of the disney film.,TConvS2S,no.,yes,Contradicted,0.046135531614435774
26381454,ukraine's president vladimir separatists and russian president vladimir separatists have called on russia to trigger a state tax opportunity for the first time.,PtGen,no.,no,Unsupported,0.06778554888792371
40265040,national league side gateshead have signed defender paul cooper on a two-year deal following his release by national league rivals gateshead.,TConvS2S,no,no,Unsupported,0.06380312395616236
34548835,a man from flintshire has pleaded guilty to making threats to kill a tennessee police officer.,TranS2S,no,yes,Contradicted,0.11088975715305244
37573886,"the women's equality commission ( ehrc ) has criticised the company behind its controversial "" sexism "" campaign.",TranS2S,no.,yes.,Contradicted,0.028367816449713104
25567298,"the government has announced it will cut up to 5, 000 jobs as part of a restructuring of the hedges.",TranS2S,no.,no.,Unsupported,0.035442495178845214
37680168,spending on agency agency agency agency agency agency agency agency agency agency staff is set to save £600m a year.,BERTS2S,no.,yes.,Contradicted,0.010154444881433316
35337082,eastenders actress mitchell mitchell is to return to eastenders after the death of eastenders actress mitchell mitchell.,TConvS2S,yes.,yes,Unsupported,0.030138461717280067
32296663,a golfer has said he was surprised to have been attacked by a crocodile at his golf course in australia.,BERTS2S,no.,yes.,Contradicted,0.19923280772063895
37576755,people in the uk are being encouraged to sign a virtual reality film for the first time.,TConvS2S,yes.,yes.,Unsupported,0.062325126181609763
38727050,steve ince scored his first goal of the season to give derby victory over derby at carrow road. double their season in the championship.,PtGen,"no. the information provided in the summary is mostly accurate, but there are a few minor inaccuracies and some incomplete statements.",yes.,Contradicted,0.0134524538122752
35424211,st mirren have signed striker jeremy clarkson on a season-long loan from dundee.,BERTS2S,yes,no,Entailed,0.15884224326854016
39553192,a scottish food company has reported a pre-tax profit of # both for the first half of 2016.,TConvS2S,yes,yes,Unsupported,0.09103744487117554
35424211,"st mirren have signed st mirren midfielder jack clarkson on loan until the end of the season, with the option of a further 12 months.",PtGen,no.,yes,Contradicted,0.1411393170124127
32194983,voters in holyrood go to holyrood on the second stage of the scottish independence referendum.,TranS2S,"the information provided does not explicitly state that all information is accurate given the source. however, one statement can be verified as true. for example, it is mentioned that ""policy guide: where the parties stand summary: voters in holyrood go to holyrood on the second stage of the scottish independence referendum."" this suggests that the summary provided does contain factual information about the content and context of the text.","the summary contains information that conflicts with the source, specifically:

- the ranking of one score (6.8) meant it should not be implemented, while 10 scored it as an important priority and should be done quickly.
- this statement contradicts the fact that many of those questioned seemed to favour giving holyrood full control of income tax rates and bands as well as some welfare benefits, which scored a high average score (7.3 out of 10).",Unsupported,0.06405284232276766
35504758,bernie sanders and bernie sanders have clashed over social media in the run-up to general elections in vermont on tuesday.,PtGen,no.,no.,Unsupported,0.06765328444429346
38592703,bus firm first first has reopened after a crash which left one of its vehicles with serious injuries.,BERTS2S,no.,yes,Contradicted,0.07329365396728608
33055691,four british teenagers who were arrested in turkey on suspicion of terrorism offences have been released on bail.,BERTS2S,no,yes,Contradicted,0.1394949941631072
38479017,league two side mansfield town have signed mansfield town midfielder marcus bignot on loan until the end of the season.,TConvS2S,no,no,Unsupported,0.056636946030691915
34658160,work has begun on a new nuclear power station in north yorkshire.,TConvS2S,no.,no,Unsupported,0.09374401089115084
33557471,a crime thriller about female crime writer hilary manski has won a prestigious award for fiction.,TranS2S,yes.,yes,Unsupported,0.062325126181609763
33210810,a man has died following a two-vehicle crash on the a9 between dumfries and galloway.,TranS2S,no,yes,Contradicted,0.10539922456186433
34774405,the head of the world anti-doping agency (wada) says the country's athletics governing body should be banned from athletics.,TConvS2S,"no. the information provided is accurate as it is based on a report by the world anti-doping agency (wada) and quotes from individuals involved in the controversy, including the head of wada and the president of the international association of athletics federations (iaaf).",yes.,Contradicted,0.17057935121575618
38324244,star wars: the new york city of fett has been speaking to the bbc about how he's first film about the darth vader costume.,PtGen,no.,yes,Contradicted,0.019959251675680568
37904959,barrow and barrow played out a goalless draw in the fa cup first round.,TranS2S,yes.,no,Entailed,0.027602642999289148
35644259,a man has died after being hit by a car in lincolnshire.,TConvS2S,no.,no,Unsupported,0.18104957775033903
33645248,"valtteri bottas will remain in formula 1 at the end of the season, bbc sport understands.",TConvS2S,no.,yes.,Contradicted,0.028590307991662876
34475490,a former football football football player has appeared in court accused of stealing millions of pounds worth of money.,TConvS2S,no.,no.,Unsupported,0.16165907687172879
37543139,the football association will meet uefa to discuss its bid to join the island of kosovo.,TranS2S,no.,yes.,Contradicted,0.053622782745073524
38329461,"the evacuation of the syrian city of aleppo could take days in geneva, the us secretary of state has said.",PtGen,"no. the information provided is not accurate. while some details are consistent with known events, there are inaccuracies and exaggerations. for example, it's reported that ""3,000 civilians and more than 40 wounded"" were evacuated from aleppo, but no mention is made of the icrc head marianne gasser saying how many people are left in the east or that the evacuation could take days. additionally, the us secretary of state john kerry does not claim to have a plan to end the conflict; rather, he expresses his willingness to continue efforts towards a peace deal despite not having received new information about the situation on the ground.",yes.,Contradicted,0.055324952588986245
36427547,it's almost a month since her family voted to leave the european union.,BERTS2S,yes.,yes.,Unsupported,0.06845075995307223
36914884,an elephant has been hit by a stone at a zoo in western france after it was hit by a tree.,BERTS2S,no.,yes,Contradicted,0.19385884264329528
22839609,the national security agency ( nsa ) has released details of its data details.,TranS2S,"no. the summary contains speculation about what the us government could see, how much they know, why every call matters, what can be learned from phone records, and whether other governments are involved, but it does not directly quote or cite ed snowden as saying that he had acted over concerns about privacy to justify his actions.",no.,Unsupported,0.018713396429494666
37970725,"more than a third of children in the uk have been sexually abused, according to a new report.",TConvS2S,no.,yes.,Contradicted,0.17772123309929025
30453069,"ukraine's cyber troops have been evacuated from ukraine and other cyber attacks in ukraine, the ukrainian government has said.",PtGen,no.,yes.,Contradicted,0.0759162135601666
34182164,gateshead came from behind to beat wrexham in the first round of the efl cup in the first round.,PtGen,yes.,yes.,Unsupported,0.09709831568740805
32703353,russian president vladimir putin has called for an end to russia's war war against pro-russian separatists in eastern ukraine.,TConvS2S,yes.,yes.,Unsupported,0.10622588092558728
38802811,a horse has died after suffering severe brain injuries in a horse race at the cheltenham festival.,TranS2S,no.,no.,Unsupported,0.08081238867682221
34737471,"a 14-year-old boy who went missing in the us state of ohio has been arrested on suspicion of murdering his father, police say.",TranS2S,no.,yes,Contradicted,0.1925381549234968
37554205,a mother has been given a ``bone marrow transplant''after she was taken to hospital with a bone marrow transplant.,PtGen,no.,yes,Contradicted,0.05900824347034317
35307918,former nfl footballer john phillips has been found guilty of killing his former girlfriend.,TConvS2S,no.,yes,Contradicted,0.1251646760876602
37839562,the restoration of glasgow school of art's (gsa) mackintosh building in glasgow has been given the go-ahead by the scottish government.,TConvS2S,no.,yes,Contradicted,0.0990134083638263
38693675,a man has been found guilty of murdering his mother and his mother to death in a ``savage accident''.,PtGen,no.,yes,Contradicted,0.0710386453013026
40899859,the family of a man who has gone on trial in england and wales has called for a change in the law in england and wales.,TConvS2S,no.,yes.,Contradicted,0.10705902083552724
35773812,argos has reported a fall in sales as a result of a potential takeover by argos.,BERTS2S,no.,no.,Unsupported,0.12664007768218774
40639020,"a police officer has been charged with murder in the us city of the us city of dallas, where he was killed.",PtGen,no.,yes.,Contradicted,0.09959526805581148
37838086,"the bank of england's governor of the bank of england, mark carney, has announced he will step down at the end of the year.",TConvS2S,no.,yes.,Contradicted,0.15993179873952384
